main_category,sub_category,siteName,name,price,img,link
욕실,,Earthbox,Earthbox 대나무 칫솔,4000원,https://cdn.imweb.me/thumbnail/20210128/e7759ca8360dc.jpg,https://www.earthbox.co.kr/kitchen/?idx=11
욕실,,Earthbox,Earthbox 무스샤워볼,6000원,https://cdn.imweb.me/thumbnail/20210201/657f406c8da01.jpg,https://www.earthbox.co.kr/kitchen/?idx=12
욕실,,Earthbox,Earthbox for Bathroom,13000원,https://cdn.imweb.me/thumbnail/20210421/c665091f532b4.jpg,https://www.earthbox.co.kr/kitchen/?idx=19
욕실,,Earthbox,얼스박스 잘 마르는 칫솔걸이,4500원,https://cdn.imweb.me/thumbnail/20210323/7ed54ee94f8dc.jpg,https://www.earthbox.co.kr/kitchen/?idx=21
욕실,,Earthbox,Earthbox 잘 마르는 비누받침,7000원,https://cdn.imweb.me/thumbnail/20210422/3a9b0f871c140.jpg,https://www.earthbox.co.kr/kitchen/?idx=23
주방,,Earthbox,Earthbox 자연그대로 루파수세미,4000원,https://cdn.imweb.me/thumbnail/20210201/1a415cc34e539.jpg,https://www.earthbox.co.kr/29/?idx=13
주방,,Earthbox,Earthbox for Kitchen,23000원,https://cdn.imweb.me/thumbnail/20210421/726133aab6a67.jpg,https://www.earthbox.co.kr/29/?idx=18
주방,,Earthbox,Earthbox 야자모브러쉬,6500원,https://cdn.imweb.me/thumbnail/20210201/0b56f4cf82de2.jpg,https://www.earthbox.co.kr/29/?idx=17
주방,,Earthbox,Earthbox 에코 키친브러쉬,6500원,https://cdn.imweb.me/thumbnail/20210325/48edf2957b828.jpg,https://www.earthbox.co.kr/29/?idx=22
주방,,Earthbox,Earthbox 잘 마르는 비누받침,7000원,https://cdn.imweb.me/thumbnail/20210422/3a9b0f871c140.jpg,https://www.earthbox.co.kr/29/?idx=23
주방,,Earthbox,Earthbox 에코행주,4500원,https://cdn.imweb.me/thumbnail/20210201/67c08514ad0d3.jpg,https://www.earthbox.co.kr/29/?idx=14
